PEAK;Ttr;II_tr;Compounds;M_H;NA_02_R2;AV_01_R1;AV_01_R2;SA_02_R1_F;SA_02_R2_F;AV_06_R1_F;AV_06_R2_F;SA_04_R2_EXO;AV_05_R2_EXO
17;15,977;0,977;6_b_rhamnopyranosyl_oleoside;535;7,43;113,57;12,49;60,72;0;0;0;0;7,18
18;16,662;0,662;Quercetin_3_O_rutinoside;609;0,9;0,95;0;10,58;1,72;13,56;1,46;0,86;0
19;16,733;0,733;Luteolin_glucoside;447;8,92;-1;97,64;73,15;-1;30,94;10,32;-1;-1
20;16,768;0,768;Oleuropein_glucoside;701;18,16;8,25;0;0;8,66;9,02;25,97;4,87;5,14
21;16,948;0,948;6_b_rhamnopyranosyl_oleoside;535;8,51;7,19;-1;0;0;0;0;0;0
22;17,827;0,827;6_b_hexopyranosyl_oleoside;609;23,42;13,75;0;0;14,12;16,67;7,25;0;0
23;18,825;0,825;Luteolin_glucoside;447;-1;-1;131,27;0;-1;-1;-1;-1;-1
24;18,876;0,876;Oleuropein_glucoside;701;4,58;4,64;1136,39;9,87;8,66;60,78;8,41;8,57;0
25;19,504;0,504;Elenolic_acid;;0;31,08;114,63;0;8,66;9,14;8,83;0;10,51
26;19,63;0,63;Luteolin_3.7_O_diglucoside;535;0;9,02;0;17,44;17,37;17,58;8,85;8,69;8,72
27;19,922;0,922;Oleuropein;539;25,15;0;0;9,87;0;0;0;0;0
28;20,395;0,395;Luteolin_glucoside;447;0;126,8;93,29;0;-1;56,36;26,14;0;7,45
29;20,531;0,531;Oleuropein;539;43,4;319,63;837,04;223,76;8,66;14,49;4,75;0;0
30;21,474;0,474;Luteolin_glucoside;447;0;8,23;95,2;0;-1;10,5;31,19;9,15;5,48
31;22,377;0,377;Luteolin_glucoside;447;0;126,8;103,74;0;-1;48,59;60,12;0;0
32;24,517;0,517;Oleuropein;539;0;712,37;635,73;1202,6;8,66;12,24;41,02;0;0
33;25,533;0,533;Oleuropein;539;0;1131,42;2245,54;223,76;8,66;9,66;0;0;0
34;25,723;0,723;Oleuropein_derivate;377;0;7,09;4,6;0;0;0;0;0;0
35;25,85;0,85;Oleuropein_derivate;377;0;0;0;0;0;0;0;0;0
36;25,865;0,865;Oleuropein_derivate;377;0;0;0;0;0;0;0;0;0
37;26,59;0,59;Oleuropein_derivate;377;0;157,07;0;10,38;8,66;11,53;4,83;0;0
38;26,84;0,84;Oleuropein_derivate;377;0;0;4,58;0;0;0;0;0;0
39;27,454;0,454;Oleuropein_derivate;377;0;615,77;0;0;8,66;12,51;0;0;0
40;27,465;0,465;Oleuropein_derivate;377;0;143,98;0;962,9;8,66;2940,49;489,25;0;0
41;27,638;0,638;Oleuropein_derivate;377;0;51,07;4,46;15,8;8,66;9,03;12,3;0;5,18
42;27,672;0,672;Oleacein;319;0;60,45;24,78;11,8;8,66;180,39;255,2;0;6,6
43;27,735;0,735;Oleuropein_derivate;377;0;7,09;0;153,64;8,66;19,8;23,72;4,71;0
44;28,771;0,771;Oleuropein_derivate;377;0;14,37;11,11;134,9;8,66;229,7;19,68;0;4,63
45;29,593;0,593;Ligstroside_aglycone;361;0;13,95;29,68;8,48;0;0;0;0;3,96
46;29,611;0,611;Ligstroside_aglycone;361;0;3,96;26,36;8,31;7,89;10,39;7,79;0;0
47;29,815;0,815;Oleuropein_derivate;377;4,48;60,43;136,46;604,05;8,66;36;112,5;0;4,48
48;29,86;0,86;Oleuropein_derivate;377;7,14;56,13;19,21;120,96;8,66;186,54;97,02;0;0
49;29,932;0,932;Ligstroside_aglycone;361;0;4,57;4,43;9;7,89;9,51;4,22;0;0
50;30,735;0,735;Luteolin;285;0;12,77;8,85;80,59;6,2;82,77;23,37;0;0
51;30,905;0,905;Apigenin;269;0,18;1,48;2,19;2,09;-1;0,55;0,1;0;-1
52;31,667;0,667;Oleuropein_derivate;377;0;0;7,19;0;0;0;0;0;0
53;31,967;0,967;10_hydroxy_10_methyl_oleuropein_aglycone;407;124,68;46,76;832,84;756,84;8,66;885,87;966,22;0;0
54;34,853;0,853;Ligstroside_aglycone;361;0;6,24;0;0;0;0;0;0;0
