Codice_azienda;N_campionamento;Anno;ID_foglia;Area_(cm3);Lunghezza_(cm);Lunghezza_(IOC);Larghezza_(cm);Larghezza_(IOC);Forma_(L/W);Shape (IOC);Circolarità;Rotondità;Perimetro_(cm);Aspect_ratio;Irregolarità_contorno
AV_03;R2;2020;P1R6;3,28;5,56;medium;0,97;narrow;5,73;medium;0,13;3,26;11,57;5,5;0,61
AV_03;R2;2020;P1R7;3,24;5,9;medium;0,96;narrow;6,15;lanceolate;0,12;3,66;12,18;5,76;0,49
AV_03;R2;2020;P1R8;2,05;4,85;short;0,66;narrow;7,35;lanceolate;0,11;3,86;9,92;7,32;0,4
AV_03;R2;2020;P1R9;2,17;4,07;short;0,87;narrow;4,68;medium;0,17;2,72;8,59;4,46;0,35
AV_03;R2;2020;P1R10;3,71;5,81;medium;1,06;medium;5,48;medium;0,14;3,08;11,96;5,03;0,33
AV_04;R2;2020;P1R1;4,38;5,66;medium;1,23;medium;4,6;medium;0,17;2,55;11,84;4,21;0,68
AV_04;R2;2020;P1R2;4,43;5,38;medium;1,33;medium;4,05;medium;0,19;2,33;11,37;3,68;0,88
AV_04;R2;2020;P1R3;2,96;4,46;short;1,02;medium;4,37;medium;0,19;2,38;9,38;4,12;0,96
AV_04;R2;2020;P1R4;3;4,37;short;1,13;medium;3,87;elliptic;0,2;2,29;9,27;3,56;0,86
AV_04;R2;2020;P1R5;5,1;4,98;short;1,67;broad;2,98;elliptic;0,26;1,86;10,91;2,68;1,1
AV_04;R2;2020;P1R6;3,29;5,11;medium;1,01;medium;5,06;medium;0,16;2,73;10,61;4,75;0,66
AV_04;R2;2020;P1R7;2,78;4,16;short;0,97;narrow;4,29;medium;0,2;2,22;8,79;4,1;0,68
AV_04;R2;2020;P1R8;2,77;4,15;short;0,96;narrow;4,32;medium;0,2;2,26;8,84;3,91;0,34
AV_05;R2;2020;P1R1;3,27;4,84;short;1,04;medium;4,65;medium;0,18;2,51;10,14;4,39;0,59
AV_05;R2;2020;P1R3;3,56;5,1;medium;1,04;medium;4,9;medium;0,17;2,56;10,68;4,55;0,84
AV_05;R2;2020;P1R6;2,79;5,05;medium;0,89;narrow;5,67;medium;0,14;3,17;10,51;5,18;0,86
AV_05;R2;2020;P1R7;3,04;5,02;medium;0,97;narrow;5,18;medium;0,15;2,88;10,46;4,67;0,96
